FFT Length,524288
Record Length,262144
FFT Sample Rate,+2.000000E+09,
Delta Frequency,+3.814697E+03,
Start Frequency,+0.000000E+00,
Stop Frequency,+1.000000E+09,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS2204X Plus
Serial Number,SDS2PEEQ6R2981
Software Version,5.4.1.5.2R1
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+8.735657E+05,+1.936231E-06,+5.525349E-07,-1.139209E+02,+2.779778E-01
+8.773804E+05,+2.420230E-06,-7.140668E-08,-1.123191E+02,-2.949553E-02
+8.811951E+05,+3.219916E-06,+4.881633E-07,-1.097444E+02,+1.504617E-01
+8.850098E+05,+3.928330E-06,-7.419678E-07,-1.079636E+02,-1.866771E-01
+8.888245E+05,+4.776373E-06,+5.104334E-07,-1.063687E+02,+1.064623E-01
+8.926392E+05,+4.965635E-06,+1.376836E-06,-1.057588E+02,+2.704782E-01
+8.964539E+05,+5.787178E-06,+6.162199E-07,-1.047017E+02,+1.060805E-01
+9.002686E+05,+7.596414E-06,-4.309712E-07,-1.023739E+02,-5.667276E-02
+9.040833E+05,+1.109633E-05,+2.298216E-06,-9.891400E+01,+2.042274E-01
+9.078979E+05,+2.298297E-05,+2.400988E-06,-9.272474E+01,+1.040905E-01
+9.117126E+05,+3.701461E-05,-4.739215E-06,-8.856192E+01,-1.273435E-01
+9.155273E+05,+2.450444E-05,+3.663113E-06,-9.211912E+01,+1.483889E-01
+9.193420E+05,+1.282447E-05,+7.991750E-07,-9.782238E+01,+6.223595E-02
+9.231567E+05,+1.137146E-05,-5.842198E-07,-9.887223E+01,-5.133086E-02
+9.269714E+05,+9.672837E-06,-1.149467E-07,-1.002883E+02,-1.188290E-02
+9.307861E+05,+8.516891E-06,-6.298998E-07,-1.013707E+02,-7.382448E-02
+9.346008E+05,+7.779205E-06,-5.014112E-07,-1.021633E+02,-6.436629E-02
+9.384155E+05,+6.781923E-06,-1.349870E-06,-1.032042E+02,-1.964717E-01
+9.422302E+05,+6.448645E-06,+2.898215E-07,-1.038019E+02,+4.491278E-02
+9.460449E+05,+6.613022E-06,-7.905752E-08,-1.035914E+02,-1.195426E-02
+9.498596E+05,+6.069023E-06,+7.262943E-07,-1.042759E+02,+1.191059E-01
+9.536743E+05,+5.590284E-06,-5.183927E-07,-1.050141E+02,-9.246658E-02
+9.574890E+05,+5.454977E-06,-1.112711E-06,-1.050871E+02,-2.012204E-01
+9.613037E+05,+5.422844E-06,-5.655254E-08,-1.053150E+02,-1.042820E-02
+9.651184E+05,+5.235871E-06,-2.118361E-07,-1.056131E+02,-4.043656E-02
+9.689331E+05,+5.125684E-06,+5.902319E-07,-1.057478E+02,+1.146469E-01
+9.727478E+05,+4.720941E-06,+3.489236E-07,-1.064958E+02,+7.377561E-02
+9.765625E+05,+5.016605E-06,+1.135541E-08,-1.059918E+02,+2.263560E-03
+9.803772E+05,+5.069311E-06,+4.512157E-07,-1.058668E+02,+8.877533E-02
+9.841919E+05,+4.749112E-06,-1.871781E-06,-1.058407E+02,-3.754383E-01
+9.880066E+05,+4.808996E-06,+1.013449E-06,-1.061702E+02,+2.077010E-01
+9.918213E+05,+4.700880E-06,-5.072544E-07,-1.065061E+02,-1.074903E-01
+9.956360E+05,+5.108543E-06,-6.048680E-07,-1.057736E+02,-1.178545E-01
+9.994507E+05,+4.740570E-06,+1.116621E-06,-1.062489E+02,+2.313290E-01
